Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Nicaragua,NIC,..,..,4,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Niger,NER,..,..,39.8,..,..,..,37.6,..,..,37.5,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Nigeria,NGA,..,..,..,25.8,..,..,25.1,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,North Macedonia,MKD,..,..,4.1,4.5,3.8,3.8,2.8,2.7,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Norway,NOR,..,0.2,0.1,0.1,0.2,0.2,0.2,0.2,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Pakistan,PAK,46.6,..,..,9.2,..,..,9,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Panama,PAN,..,9.5,2.6,1.7,1.7,1.9,1.4,1.1,..,1.3,..,1.4
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Paraguay,PRY,1.3,..,2.3,2.1,2,1.3,1.6,1.3,1.2,1,1.5,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Peru,PER,..,15.5,4.4,4.4,4.2,4.1,3.4,3,5.8,2.9,2.8,..
